Layer,MSE,Image_Type
conv1,0.003016852,offsample
conv1,0.022177313,offsample
conv1,0.028919451,offsample
conv1,0.0078108497,offsample
conv1,0.0070562176,offsample
conv1,0.0006080386,offsample
conv1,0.003854437,offsample
conv1,0.049238335,offsample
conv1,0.007128412,offsample
conv1,0.020202067,offsample
conv1,0.0035573982,offsample
conv1,0.016826395,offsample
conv1,0.023121132,offsample
conv1,0.00939839,offsample
conv1,0.048574243,offsample
conv1,0.0013092085,offsample
conv1,0.0028140012,offsample
conv1,0.0007113953,offsample
conv1,0.00044901195,offsample
conv1,0.049083546,offsample
conv1,0.016819868,offsample
conv1,0.0013661083,offsample
conv1,0.0069100903,offsample
conv1,0.00022303077,offsample
conv1,0.047972772,offsample
conv1,0.00666522,offsample
conv1,0.002300843,offsample
conv1,0.014641738,offsample
conv1,0.00016841893,offsample
conv1,0.004036288,offsample
conv1,0.03140938,offsample
conv1,0.007809009,offsample
conv1,0.00039194274,offsample
conv1,0.0087035205,offsample
conv1,0.00742654,offsample
conv1,0.009799071,offsample
conv1,0.00209585,offsample
conv1,0.017773507,offsample
conv1,0.00022210533,offsample
conv1,0.0027994057,offsample
conv1,0.022828374,offsample
conv1,0.0025942274,offsample
conv1,0.0002887363,offsample
conv1,0.028262418,offsample
conv1,0.0017476837,offsample
conv1,8.60502e-06,offsample
conv1,0.05395401,offsample
conv1,0.0008341588,offsample
conv1,0.018317567,offsample
conv1,0.0047608716,offsample
conv1,0.030055063,offsample
conv1,0.016353315,offsample
conv1,0.028436754,offsample
conv1,0.042996205,offsample
conv1,0.0073662554,offsample
conv1,0.0030839536,offsample
conv1,6.135998e-05,offsample
conv1,0.00020166262,offsample
conv1,0.01133879,offsample
conv1,0.001098065,offsample
conv1,0.02374869,offsample
conv1,0.008808021,offsample
conv1,0.0003427231,offsample
conv1,0.004691344,offsample
conv1,0.005859228,offsample
conv1,0.011024674,offsample
conv1,0.034275275,offsample
conv1,0.0400356,offsample
conv1,9.528842e-05,offsample
conv1,0.0003103119,offsample
conv1,0.0010606124,offsample
conv1,0.00926846,offsample
conv1,0.0070037497,offsample
conv1,0.00077085965,offsample
conv1,0.0033730057,offsample
conv1,0.016205998,offsample
conv1,0.012586106,offsample
conv1,0.004722819,offsample
conv1,0.0003758511,offsample
conv1,0.004460498,offsample
conv1,0.03144134,offsample
conv1,0.009052664,offsample
conv1,0.0053293486,offsample
conv1,0.009843014,offsample
conv1,0.00016487017,offsample
conv1,3.5575034e-05,offsample
conv1,0.0063607492,offsample
conv1,0.012328964,offsample
conv1,0.0119422525,offsample
conv1,0.0012988953,offsample
conv1,0.051015403,offsample
conv1,0.026816687,offsample
conv1,0.0008675861,offsample
conv1,0.0009256063,offsample
conv1,0.060628187,offsample
conv1,0.008804336,offsample
conv1,0.033440005,offsample
conv1,0.036322825,offsample
conv1,0.00063923217,offsample
conv1,0.05281987,offsample
conv1,0.0048939846,offsample
conv1,0.022994678,offsample
conv1,0.010025222,offsample
conv1,0.0002130457,offsample
conv1,3.138573e-05,offsample
conv1,0.007112368,offsample
conv1,0.00022322395,offsample
conv1,0.0040539824,offsample
conv1,0.0007903799,offsample
conv1,0.008184951,offsample
conv1,0.042453162,offsample
conv1,7.760214e-05,offsample
conv1,0.049116887,offsample
conv1,0.00048976764,offsample
conv1,0.0062919594,offsample
conv1,0.013033354,offsample
conv1,0.0019594005,offsample
conv1,0.010031857,offsample
conv1,0.003759681,offsample
conv1,0.0075053517,offsample
conv1,0.001272554,offsample
conv1,0.004166086,offsample
conv1,0.016448373,offsample
conv1,0.006245888,offsample
conv1,0.00385022,offsample
conv1,0.0016023093,offsample
conv1,0.00014671443,offsample
conv1,2.237335e-05,offsample
conv1,0.0018865411,offsample
conv1,0.0013370868,offsample
conv1,0.03285547,offsample
conv1,0.012716976,offsample
conv1,0.0085290475,offsample
conv1,0.0015435858,offsample
conv1,0.00080254197,offsample
conv1,0.0025919229,offsample
conv1,0.0019040201,offsample
conv1,0.014137538,offsample
conv1,0.001911328,offsample
conv1,0.001296812,offsample
conv1,0.0012666729,offsample
conv1,0.0065514906,offsample
conv1,0.002359763,offsample
conv1,0.039448306,offsample
conv1,0.0011956036,offsample
conv1,0.020728953,offsample
conv1,0.0068820636,offsample
conv1,0.0010621559,offsample
conv1,0.00062251225,offsample
conv1,0.0019796453,offsample
conv1,0.0044426704,offsample
conv1,0.004543773,offsample
conv1,0.014233723,offsample
conv1,0.0046441928,offsample
conv1,0.010955189,offsample
conv1,0.01928433,offsample
conv1,0.0001082184,offsample
conv1,0.043986842,offsample
conv1,0.004232886,offsample
conv1,0.022682913,offsample
conv1,4.5441164e-05,offsample
conv1,0.0017725318,offsample
conv1,0.0053394083,offsample
conv1,0.043033395,offsample
conv1,0.0011326724,offsample
conv1,0.018258635,offsample
conv1,0.0020095974,offsample
conv1,0.012016166,offsample
conv1,0.00043844405,offsample
conv1,1.3053588e-06,offsample
conv1,0.00072327734,offsample
conv1,0.024820589,offsample
conv1,0.0044117775,offsample
conv1,0.0007463524,offsample
conv1,0.040702816,offsample
conv1,0.021684073,offsample
conv1,0.013391281,offsample
conv1,0.001611736,offsample
conv1,7.206184e-05,offsample
conv1,0.0044297036,offsample
conv1,0.016853036,offsample
conv1,7.509072e-05,offsample
conv1,0.0031223046,offsample
conv1,0.0133022275,offsample
conv1,0.025020909,offsample
conv1,0.003988568,offsample
conv1,0.024517518,offsample
conv1,0.0051910183,offsample
conv1,0.015073158,offsample
conv1,2.5653744e-05,offsample
conv1,0.054059222,offsample
conv1,0.009674477,offsample
conv1,2.4041724e-06,offsample
conv1,0.0039939,offsample
conv1,0.0022936447,offsample
conv1,2.500532e-05,offsample
conv1,0.009978244,offsample
conv1,0.006217509,offsample
conv1,0.0045201997,offsample
conv1,0.053804968,offsample
conv1,0.056966547,offsample
conv1,0.00034469872,offsample
conv1,2.0432411e-05,offsample
conv1,0.046967104,offsample
conv1,0.0024472533,offsample
conv1,0.026570933,offsample
conv1,0.026366541,offsample
conv1,0.029434655,offsample
conv1,0.0061590374,offsample
conv1,0.013307158,offsample
conv1,0.004561227,offsample
conv1,0.017082565,offsample
conv1,1.4660488e-05,offsample
conv1,0.013890325,offsample
conv1,0.0067021307,offsample
conv1,0.0051259403,offsample
conv1,0.032561217,offsample
conv1,0.04730277,offsample
conv1,0.005341341,offsample
conv1,0.0012882159,offsample
conv1,0.0044727805,offsample
conv1,3.7842692e-05,offsample
conv1,0.00015972115,offsample
conv1,7.9974976e-05,offsample
conv1,0.02526152,offsample
conv1,0.008268044,offsample
conv1,0.00010817815,offsample
conv1,0.012660419,offsample
conv1,3.7590853e-06,offsample
conv1,0.0032614975,offsample
conv1,0.015790937,offsample
